edge_id,direction
107385,nb
-107385,sb
107402,eb
-107402,wb
107403,nb
-107403,sb
107430,eb
-107430,wb
107431,nb
-107431,sb
107469,eb
-107469,wb
107494,eb
-107494,wb
107499,eb
-107499,wb
107547,eb
-107547,wb
107564,eb
-107564,wb
107571,eb
-107571,wb
107615,eb
-107615,wb
107656,nb
-107656,sb
107670,eb
-107670,wb
107671,nb
-107671,sb
107678,eb
-107678,wb
107679,nb
-107679,sb
107688,eb
-107688,wb
107689,nb
-107689,sb
107784,nb
-107784,sb
107802,eb
-107802,wb
107831,eb
-107831,wb
107853,eb
-107853,wb
107890,eb
-107890,wb
107891,eb
-107891,wb
107906,nb
-107906,sb
107919,eb
-107919,wb
107920,nb
-107920,sb
107935,eb
-107935,wb
107936,nb
-107936,sb
107958,eb
-107958,wb
107978,nb
-107978,sb
107996,wb
-107996,eb
108009,eb
-108009,wb
108026,sb
-108026,nb
108086,eb
-108086,wb
108095,nb
-108095,sb
108103,nb
-108103,sb
108111,eb
-108111,wb
108146,nb
-108146,sb
108293,nb
-108293,sb
108350,nb
-108350,sb
108376,nb
-108376,sb
108388,eb
-108388,wb
108429,eb
-108429,wb
108432,eb
-108432,wb
108447,nb
-108447,sb
108454,nb
-108454,sb
108466,nb
-108466,sb
108490,eb
-108490,wb
108491,nb
-108491,sb
108498,nb
-108498,sb
108501,eb
-108501,wb
108502,eb
-108502,wb
108515,eb
-108515,wb
108519,eb
-108519,wb
108534,eb
-108534,wb
108537,nb
-108537,sb
108550,nb
-108550,sb
108561,nb
-108561,sb
108573,eb
-108573,wb
108580,eb
-108580,wb
108601,nb
-108601,sb
108622,eb
-108622,wb
108738,eb
-108738,wb
108765,eb
-108765,wb
108786,eb
-108786,wb
108787,nb
-108787,sb
108819,eb
-108819,wb
108820,nb
-108820,sb
108841,eb
-108841,wb
108863,nb
-108863,sb
108899,eb
-108899,wb
108914,eb
-108914,wb
108915,nb
-108915,sb
108943,nb
-108943,sb
108956,eb
-108956,wb
108988,nb
-108988,sb
109011,eb
-109011,wb
109012,nb
-109012,sb
109061,eb
-109061,wb
109062,eb
-109062,wb
109093,eb
-109093,wb
109094,nb
-109094,sb
109108,eb
-109108,wb
109113,eb
-109113,wb
109114,nb
-109114,sb
109170,eb
-109170,wb
109188,eb
-109188,wb
109217,nb
-109217,sb
109245,nb
-109245,sb
109260,eb
-109260,wb
109276,nb
-109276,sb
109295,nb
-109295,sb
109307,nb
-109307,sb
109315,eb
-109315,wb
109319,nb
-109319,sb
109320,eb
-109320,wb
109355,eb
-109355,wb
109359,eb
-109359,wb
109360,nb
-109360,sb
109363,nb
-109363,sb
109368,nb
-109368,sb
109369,eb
-109369,wb
109373,eb
-109373,wb
109375,eb
-109375,wb
109387,eb
-109387,wb
109390,nb
-109390,sb
109426,nb
-109426,sb
109427,eb
-109427,wb
109455,eb
-109455,wb
109489,nb
-109489,sb
109497,nb
-109497,sb
109498,eb
-109498,wb
109499,nb
-109499,sb
109510,eb
-109510,wb
109519,eb
-109519,wb
109520,nb
-109520,sb
109538,eb
-109538,wb
109545,nb
-109545,sb
109550,eb
-109550,wb
109557,eb
-109557,wb
109558,nb
-109558,sb
109576,eb
-109576,wb
109577,eb
-109577,wb
109583,eb
-109583,wb
109584,nb
-109584,sb
109585,eb
-109585,wb
109586,sb
-109586,nb
109588,eb
-109588,wb
109589,nb
-109589,sb
109601,eb
-109601,wb
109602,nb
-109602,sb
109603,eb
-109603,wb
109610,eb
-109610,wb
109611,nb
-109611,sb
109620,sb
-109620,nb
109626,eb
-109626,wb
109627,nb
-109627,sb
109629,eb
-109629,wb
109630,nb
-109630,sb
109668,nb
-109668,sb
109678,nb
-109678,sb
109688,nb
-109688,sb
109701,eb
-109701,wb
109703,sb
-109703,nb
109705,eb
-109705,wb
109706,nb
-109706,sb
109722,eb
-109722,wb
109737,eb
-109737,wb
109738,nb
-109738,sb
109758,eb
-109758,wb
109759,nb
-109759,sb
109782,eb
-109782,wb
109783,nb
-109783,sb
109798,nb
-109798,sb
109803,eb
-109803,wb
109815,nb
-109815,sb
109816,eb
-109816,wb
109817,nb
-109817,sb
109835,eb
-109835,wb
109836,nb
-109836,sb
109848,eb
-109848,wb
109849,nb
-109849,sb
109853,eb
-109853,wb
109854,sb
-109854,nb
109867,nb
-109867,sb
109877,eb
-109877,wb
109878,nb
-109878,sb
109896,eb
-109896,wb
109905,eb
-109905,wb
109906,nb
-109906,sb
109925,nb
-109925,sb
109928,eb
-109928,wb
109931,eb
-109931,wb
109932,nb
-109932,sb
109936,eb
-109936,wb
109937,eb
-109937,wb
109940,eb
-109940,wb
109944,eb
-109944,wb
109950,eb
-109950,wb
109951,nb
-109951,sb
109954,eb
-109954,wb
109975,eb
-109975,wb
109976,nb
-109976,sb
109980,eb
-109980,wb
110000,nb
-110000,sb
110021,sb
-110021,nb
110025,eb
-110025,wb
110026,nb
-110026,sb
110079,nb
-110079,sb
110083,nb
-110083,sb
110094,eb
-110094,wb
110095,nb
-110095,sb
110101,nb
-110101,sb
110110,eb
-110110,wb
110141,eb
-110141,wb
110180,nb
-110180,sb
110191,nb
-110191,sb
110296,eb
-110296,wb
110297,nb
-110297,sb
110338,eb
-110338,wb
110339,nb
-110339,sb
11034280,nb
-11034280,sb
110366,nb
-110366,sb
110386,nb
-110386,sb
110395,eb
-110395,wb
110396,nb
-110396,sb
110420,eb
-110420,wb
110421,nb
-110421,sb
110426,eb
-110426,wb
110427,nb
-110427,sb
110436,eb
-110436,wb
110443,nb
-110443,sb
110444,nb
-110444,sb
110449,eb
-110449,wb
110450,nb
-110450,sb
110490,nb
-110490,sb
110495,eb
-110495,wb
110496,nb
-110496,sb
110497,nb
-110497,sb
110498,nb
-110498,sb
110513,eb
-110513,wb
110514,nb
-110514,sb
110519,eb
-110519,wb
110533,eb
-110533,wb
110534,nb
-110534,sb
110565,nb
-110565,sb
110568,eb
-110568,wb
110569,eb
-110569,wb
110570,eb
-110570,wb
110600,nb
-110600,sb
110601,sb
-110601,nb
110609,nb
-110609,sb
110613,eb
-110613,wb
110614,nb
-110614,sb
110629,eb
-110629,wb
110666,nb
