junction_id,edge_ids,directions
13446193,107430,eb
13446743,7204482|-7204470|108009|-107831,nb|sb|eb|wb
13447299,7204415|-6332605|-11034280|-2798981,nb|wb|sb|nb
13447496,108537|108429|-108388|-7204446,nb|eb|wb|sb
13447843,-108622|30013725|-2809289|5066262,wb|eb|sb|nb
13447955,-30013726|108738|-30013725|108787,sb|eb|wb|nb
13448199,-20054774|4684710|108899|-6535415,sb|nb|eb|wb
13448481,12691191|5353610|-4684711,nb|eb|sb
13449324,-109583|-109584|109588|109783,wb|sb|eb|nb
13449737,7155256,eb
13449830,-5087274|110000|13232758|-7155256,sb|nb|eb|wb
13450163,110101|6436449|-110025|-110026,nb|eb|wb|sb
13450484,-110180|3497264|-6408248|110427,sb|eb|wb|nb
13450586,-3497264,wb
13450732,110338|110366|-110297|-110296,eb|nb|sb|wb
13450785,-4605077|14668247,wb|eb
13450883,-110386|110395|-14668247|110450,sb|eb|wb|nb
13974857,-14663886|-14070155|13974855,wb|sb|eb
14020768,14020766|-20110483|-14020767,eb|eb|wb
14070146,14070200|20054775|-14070145,sb|nb|sb
14605394,14605392|-14605393|-14605414,nb|sb|sb
