edge_id,direction
10133494,nb
-10133494,sb
10133660,eb
-10133660,wb
10133669,eb
-10133669,wb
10133742,eb
-10133742,wb
10133781,eb
-10133781,wb
10133795,eb
-10133795,wb
10133814,nb
-10133814,sb
10133844,eb
-10133844,wb
10133851,eb
-10133851,wb
10144696,eb
-10144696,wb
10145060,eb
-10145060,wb
10154318,nb
-10154318,sb
10154556,sb
-10154556,nb
10154603,nb
-10154603,sb
10257866,sb
-10257866,nb
10257906,nb
-10257906,sb
10257917,eb
-10257917,wb
10257961,eb
-10257961,wb
10257988,nb
-10257988,sb
10258019,eb
-10258019,wb
10258392,sb
-10258392,nb
10279965,nb
-10279965,sb
10280145,nb
-10280145,sb
1137753,eb
-1137753,wb
1137761,nb
-1137761,sb
1137768,eb
-1137768,wb
1137770,nb
-1137770,sb
1137771,eb
-1137771,wb
1137772,eb
-1137772,wb
1137782,eb
-1137782,wb
1137792,eb
-1137792,wb
1137795,eb
-1137795,wb
1137796,nb
-1137796,sb
1137803,nb
-1137803,sb
1137805,nb
-1137805,sb
1137806,nb
-1137806,sb
1137814,eb
-1137814,wb
1137816,eb
-1137816,wb
1137821,eb
-1137821,wb
1137822,eb
-1137822,wb
1137823,sb
-1137823,nb
1137835,eb
-1137835,wb
1137836,nb
-1137836,sb
1137838,nb
-1137838,sb
1137846,eb
-1137846,wb
1137848,eb
-1137848,wb
1137849,nb
-1137849,sb
1137850,sb
-1137850,nb
1137851,nb
-1137851,sb
1137854,sb
-1137854,nb
1137855,nb
-1137855,sb
1137856,eb
-1137856,wb
1137861,nb
-1137861,sb
1137864,nb
-1137864,sb
1137867,nb
-1137867,sb
1137868,eb
-1137868,wb
1137869,eb
-1137869,wb
1137871,nb
-1137871,sb
1137873,eb
-1137873,wb
1137874,nb
-1137874,sb
1137875,sb
-1137875,nb
1137878,nb
-1137878,sb
1137880,nb
-1137880,sb
1137881,eb
-1137881,wb
1137883,eb
-1137883,wb
1137884,nb
-1137884,sb
1137885,sb
-1137885,nb
1137888,wb
-1137888,eb
1137890,nb
-1137890,sb
1137891,nb
-1137891,sb
1137892,nb
-1137892,sb
1137893,eb
-1137893,wb
1137895,nb
-1137895,sb
1137899,eb
-1137899,wb
1137901,nb
-1137901,sb
1137902,eb
-1137902,wb
1137903,sb
-1137903,nb
1137909,eb
-1137909,wb
1137910,nb
-1137910,sb
1137916,eb
-1137916,wb
1137920,nb
-1137920,sb
1137923,eb
-1137923,wb
1137924,nb
-1137924,sb
1137925,eb
-1137925,wb
1137926,nb
-1137926,sb
1137931,eb
-1137931,wb
1137936,eb
-1137936,wb
1137940,nb
-1137940,sb
1137943,sb
-1137943,nb
1137946,sb
-1137946,nb
1137951,sb
-1137951,nb
1137952,sb
-1137952,nb
1137956,eb
-1137956,wb
1137959,eb
-1137959,wb
1137966,sb
-1137966,nb
1137967,nb
-1137967,sb
1137970,sb
-1137970,nb
1137971,nb
-1137971,sb
1137973,nb
-1137973,sb
1137975,nb
-1137975,sb
1137976,sb
-1137976,nb
1137977,nb
-1137977,sb
1137983,sb
-1137983,nb
1137988,sb
-1137988,nb
1137989,nb
-1137989,sb
1137993,sb
-1137993,nb
1137998,nb
-1137998,sb
1138000,nb
-1138000,sb
1138002,sb
-1138002,nb
1138011,sb
-1138011,nb
1138012,nb
-1138012,sb
1138013,sb
-1138013,nb
1138014,wb
-1138014,eb
1138019,sb
-1138019,nb
1138020,nb
-1138020,sb
1138023,sb
-1138023,nb
1138026,nb
-1138026,sb
1138027,sb
-1138027,nb
1138029,sb
-1138029,nb
1138030,nb
-1138030,sb
1138034,sb
-1138034,nb
1138035,nb
-1138035,sb
1138036,sb
-1138036,nb
1138043,sb
-1138043,nb
1138044,nb
-1138044,sb
1138052,sb
-1138052,nb
1138056,nb
-1138056,sb
1138059,nb
-1138059,sb
1138060,sb
-1138060,nb
1138061,sb
-1138061,nb
1138062,nb
-1138062,sb
1138071,nb
-1138071,sb
1138073,nb
-1138073,sb
1138075,sb
-1138075,nb
1138076,nb
-1138076,sb
1138077,sb
-1138077,nb
1138082,nb
-1138082,sb
1138085,sb
-1138085,nb
1138086,nb
-1138086,sb
1138089,nb
-1138089,sb
1138090,sb
-1138090,nb
1138093,sb
-1138093,nb
1138097,sb
-1138097,nb
1138098,sb
-1138098,nb
1138099,nb
-1138099,sb
1138100,sb
-1138100,nb
1138101,nb
-1138101,sb
1138103,sb
-1138103,nb
1138106,sb
-1138106,nb
1138107,nb
-1138107,sb
1138114,nb
-1138114,sb
1138124,sb
-1138124,nb
1138128,nb
-1138128,sb
1138134,sb
-1138134,nb
1138135,nb
-1138135,sb
1138138,sb
-1138138,nb
1138141,sb
-1138141,nb
1138142,sb
-1138142,nb
1138143,nb
-1138143,sb
1138156,nb
-1138156,sb
1138166,sb
-1138166,nb
1138167,nb
-1138167,sb
1138172,nb
-1138172,sb
1138173,sb
-1138173,nb
