junction_id,edge_ids,directions
13453919,10133814,nb
13454068,10133795|-10133781|7665593,eb|wb|wb
13454075,-10133814|1137782|-10133795,sb|eb|wb
13454100,-1137782|12174201|1137805,wb|eb|nb
13454172,10133660|-10133669|1137836,eb|wb|nb
13454212,1137849|-10133851|10133844,nb|wb|eb
13454250,-10133844|-7762807|-9741291|30118196,wb|sb|nb|nb
13454354,-1137850|9741741|1137855,nb|sb|nb
13454446,5070771|1137850|-1137851|-5070621,nb|sb|sb|nb
13454460,-1137875|-1137855|1137880|1137854,nb|sb|nb|sb
13454464,-1137856|10154318|-30118195,wb|nb|sb
13454505,1137869|-1137864|1137884|-30151195,eb|sb|nb|wb
13454561,1137901|-2364217|-1137878|1137883,nb|wb|sb|eb
13454571,-1137880|1137895|-1137903|10258392,sb|nb|nb|sb
13454606,1137910|7667127|-1137884|-1137883,nb|eb|sb|wb
13454610,8566546|-444568|1137885,nb|nb|sb
13454655,-1137899|1137902|-1137892,wb|eb|sb
13454662,444568,sb
13454680,-1137893|30094596|-8566503,wb|nb|sb
13454746,1137924|-1137909|-1137910|1137916,nb|wb|sb|eb
13455073,30057003|-7754013|-1137956,eb|sb|wb
13455137,-8344600|2687536|-1137966|8344606,sb|sb|nb|nb
13455214,8344078|-444986,nb|sb
13455270,7753851|1137998|-30148387|-30057002,eb|nb|sb|wb
13455466,8322761|-1138013|-8322719|1138002,nb|nb|sb|sb
13455496,8566211|-30104881|-10257961,nb|sb|wb
13455613,30151588|1138027|-8322761|-1138034,nb|sb|sb|nb
13455941,-1138082|1138099|-1138106,sb|nb|nb
13456247,8322180|-1138177|8322151|-8322270,nb|nb|sb|sb
13456543,4030552|-8322117|-1138238,nb|sb|nb
14047391,-14047390,nb
13456838,1138284|-1138275|-1138254|14047390,nb|nb|sb|sb
13457077,-1138341,nb
13457197,-8205745|1138403,nb|nb
13457449,8205774|1138665|-8203281|-8202073,sb|nb|sb|nb
13457708,-14023709|11901951|-8168719,sb|sb|nb
13457923,-1138665,sb
13457966,-7323668,sb
