junction_id,edge_ids,directions
13458434,-10663266,nb
13458518,30017549|8608523|-8608502,nb|sb|nb
13458554,30066335|-10663339|8608502,nb|nb|sb
13458567,-20062227|10663385|-10663349,sb|sb|nb
13458706,20039583|8593989|-10663483,nb|sb|nb
13458711,-7603,nb
13458813,7617|7727|-7628,sb|nb|nb
13458906,8677495|-8649755,sb|nb
13459035,7749|-7726|7700,nb|nb|sb
13459036,30134812|-12601268|20091988|-8432383,sb|sb|nb|nb
13459086,-7740|7726,nb|sb
13459336,-7821,sb
13459363,7867|-14067894|-30105849|7920,wb|sb|eb|nb
13459587,10706173|-7932|7968|-2302332,nb|eb|wb|sb
13459597,-7966|-7935,nb|Unknown
13459620,-7948|7947,Unknown|sb
13459632,-9741259|30093309|30093306,sb|nb|sb
13459786,8145|8026|-14068267,nb|wb|eb
13459798,-2302411|8083|-14068216,sb|nb|Unknown
13459881,8126|-14067925|8064,nb|eb|wb
13459974,-8096|8128|-8125,eb|wb|nb
13460056,-8158|30106845|-8128,nb|wb|eb
13460145,-8163|8162|8203,sb|sb|nb
13460181,8194|-8173|14067366|-30106844,wb|Unknown|nb|eb
13460232,11129896|-8198,wb|eb
13460256,-8219|10663526,eb|sb
13460287,-8246|8227,nb|sb
13460449,-8326|-14067358,nb|Unknown
13460578,-8406|-8362,Unknown|Unknown
13460587,-8593793|8571266|-11129688,sb|nb|nb
13460742,-8571266|30017565|9278277|-30025326,sb|sb|nb|nb
13460760,-8459,Unknown
13460806,8791|9278364,nb|sb
13460815,-8515|8488,nb|sb
13460884,-9278266|9270625|8538,sb|sb|nb
13460899,-14068286|-8538|30119928,Unknown|sb|nb
13461136,8662|-20042465,eb|Unknown
13461215,-8734|-30119927|14068233,nb|sb|nb
13461276,-8704|8763|8703,sb|nb|sb
13461410,-14068232|-8809|8830,sb|nb|nb
13461425,-30118219|-8772,nb|Unknown
13461470,-8803|-30118222|30118220|-8791,nb|nb|sb|sb
13461513,8803|-8804|-8829|8920,sb|sb|nb|nb
13461551,8933|-8850|-8830|8829,nb|nb|sb|sb
13461620,30105185|-8865,nb|sb
13461632,8999|8870|-8874,nb|sb|nb
13461672,1140225,sb
13461731,-60008387|60008374,Unknown|sb
13462068,,
