centreline_id,junction_id,distance
13458434,13458434,0.0
13458518,13458518,0.0
13458554,13458554,0.0
13458567,13458567,0.0
13458706,13458706,0.0
13458711,13458711,0.0
13458813,13458813,0.0
13458906,13458906,0.0
13459035,13459035,0.0
13459036,13459036,0.0
13459086,13459086,0.0
13459336,13459336,0.0
13459363,13459363,0.0
13459587,13459587,0.0
13459597,13459597,0.0
13459620,13459620,0.0
13459632,13459632,0.0
13459786,13459786,0.0
13459798,13459798,0.0
13459881,13459881,0.0
13459974,13459974,0.0
13460056,13460056,0.0
13460145,13460145,0.0
13460181,13460181,0.0
13460232,13460232,0.0
13460256,13460256,0.0
13460287,13460287,0.0
13460449,13460449,0.0
13460578,13460578,0.0
13460587,13460587,0.0
13460742,13460742,0.0
13460760,13460760,0.0
13460806,13460806,0.0
13460815,13460815,0.0
13460884,13460884,0.0
13460899,13460899,0.0
13461136,13461136,0.0
13461215,13461215,0.0
13461276,13461276,0.0
13461410,13461410,0.0
13461425,13461425,0.0
13461470,13461470,0.0
13461513,13461513,0.0
13461551,13461551,0.0
13461620,13461620,0.0
13461632,13461632,0.0
13461672,13461672,0.0
13461731,13461731,0.0
13462068,13462068,0.0
