_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,ACTIVATIONDATE,SIGNALSYSTEM,NON_SYSTEM,CONTROL_MODE,PEDWALKSPEED,APS_OPERATION,NUMBEROFAPPROACHES,OBJECTID,GEO_ID,NODE_ID,AUDIBLEPEDSIGNAL,TRANSIT_PREEMPT,FIRE_PREEMPT,RAIL_PREEMPT,MI_PRINX,BICYCLE_SIGNAL,UPS,LED_BLANKOUT_SIGN,LPI_NORTH_IMPLEMENTATION_DATE,LPI_SOUTH_IMPLEMENTATION_DATE,LPI_EAST_IMPLEMENTATION_DATE,LPI_WEST_IMPLEMENTATION_DATE,LPI_COMMENT,geometry
1,0002,JARVIS ST,None,FRONT ST E,LOWER JARVIS ST,None,None,1948-11-15T05:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1,11075761,13466793,,,,,1,,,,2023-04-06T04:00:00,2023-04-06T04:00:00,2023-04-06T04:00:00,2023-04-06T04:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.3714639959891, 43.64944999708736]]}"
2,0003,KING ST E,None,JARVIS ST,None,None,None,1950-08-23T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,2,8344825,13466630,1,1,,,2,,,1,,,2021-06-23T04:00:00,2021-06-23T04:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.3719129962965, 43.650463001136515]]}"
3,0004,JARVIS ST,None,ADELAIDE ST E,None,None,None,1958-09-12T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,3,2884350,13466455,,,,,3,1,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.3723650028596, 43.65152699929593]]}"
4,0005,JARVIS ST,None,RICHMOND ST E,None,None,None,1962-04-21T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,4,1144943,13466268,,,,,4,,1,,2020-10-08T04:00:00,2020-10-08T04:00:00,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.37283099386956, 43.65270399605759]]}"
5,0006,JARVIS ST,None,QUEEN ST E,None,None,None,1928-08-24T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,5,14024688,13466110,,,,,5,,,,2021-03-03T05:00:00,2021-03-03T05:00:00,2021-03-03T05:00:00,2021-03-03T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.37325399423514, 43.653729000151515]]}"
6,0007,JARVIS ST,None,SHUTER ST,None,None,None,1948-11-18T05:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,6,30074729,13465860,,,,,6,,,,2023-12-19T05:00:00,2023-12-19T05:00:00,2023-12-19T05:00:00,2023-12-19T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.37391700571683, 43.65536100365847]]}"
7,0008,JARVIS ST,None,DUNDAS ST E,None,None,None,1928-06-21T04:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,7,14021174,13465569,1,,,,7,,,,2020-10-08T04:00:00,2020-10-08T04:00:00,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.37456600093638, 43.65706699657535]]}"
8,0009,JARVIS ST,None,GERRARD ST E,None,None,None,1941-07-14T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,8,2597802,13465038,,,,,8,,,,2020-12-22T05:00:00,2020-12-22T05:00:00,2020-12-22T05:00:00,2020-12-22T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.37589899899584, 43.66043899686976]]}"
9,0010,JARVIS ST,None,CARLTON ST,None,None,None,1928-06-28T04:00:00,TransSuite,None,FT,0.9 m/s (FDW based on full crossing @ 1.1 m/s),None,4,9,60000256,13464719,,,,,9,,,,,,2023-12-19T05:00:00,2023-12-19T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.37671599844334, 43.66241799799948]]}"
10,0011,JARVIS ST,None,WELLESLEY ST E,None,None,None,1948-09-28T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,10,6522648,13464096,,,,,10,,,,2024-01-02T05:00:00,2024-01-02T05:00:00,2024-01-02T05:00:00,2024-01-02T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.37834700615069, 43.66628500101939]]}"
