_id,location_id,location,lng,lat,centreline_type,centreline_id,px,latest_count_date
1,380,DUNDAS ST W/B E OF ROYAL AVON CRES,-79.53197,43.645225,1,14204002,,2023-11-29
2,1146,ELLESMERE RD AT PARKINGTON CRES,-79.2462539208032,43.7733187721774,2,13446642,2296,2022-12-17
3,1645,STEELES AVE W W/B E OF TORRESDALE AVE,-79.45030000000001,43.79146,1,437008,,2023-10-12
4,1981,YORK MILLS RD E/B & W/B TO DON VALLEY PKWY N/B,-79.33465822052148,43.757335889739274,1,440171,,2004-04-08
5,2156,BLOOR ST W W/B E OF BEDFORD RD,-79.39575633551416,43.668357717902005,1,8408552,,2024-04-10
6,3008,KENNEDY RD S/B TO HIGHWAY 401 W/B,-79.28780461666953,43.77463510714206,1,107790,,2024-07-17
7,3468,PARKSIDE DR N/B S OF SPRING RD,-79.45444208117107,43.64051249532949,1,30010748,,2021-12-15
8,3925,RIPLEY AVE AT SOUTH KINGSWAY,-79.4752735067663,43.6367801228756,2,13468657,,2022-01-27
9,3926,BLOOR ST AT SOUTH KINGSWAY & RIVERVIEW GARDENS (PX 334),-79.48575200582097,43.64831200268453,2,13467247,334,2022-05-10
10,3927,LAKE SHORE BLVD AT LESLIE ST (PX 206),-79.32843599429562,43.65923500408907,2,13465121,206,2024-06-18
11,3928,BRITISH COLUMBIA RD AT LAKE SHORE BLVD (PX 1344),-79.42918099885328,43.63143099599329,2,13469154,1344,2018-01-24
12,3929,JAMESON AVE AT LAKE SHORE BLVD W/B (PX 224),-79.43456300188026,43.63334100372159,2,13468970,224,2017-10-03
13,3930,LAKE SHORE BLVD AT ONTARIO DR & REMEMBRANCE DR (PX 930),-79.41978300442592,43.63042500318941,2,13469216,930,2018-01-24
14,3931,LAKE SHORE BLVD AT STRACHAN AVE (PX 222),-79.40874499655241,43.63444200218585,2,13468803,222,2024-06-18
15,3932,BASTION ST AT FLEET ST AND LAKE SHORE BLVD W (PX 299),-79.40354899516157,43.63591300031572,2,20054541,299,2011-05-26
16,3933,LAKE SHORE BLVD W AT REES ST,-79.3870364047341,43.6399281898813,2,13468195,1408,2018-04-04
17,3934,LAKE SHORE BLVD W AT LONG BRANCH AVE (PX 240),-79.53401599658172,43.59436100139991,2,13470639,240,2020-02-25
18,3935,AVENUE RD AT LONSDALE RD (PX 113),-79.40301700451026,43.69078200162239,2,13459836,113,2024-05-29
19,3936,LAKE SHORE BLVD AT LEGION RD (PX 1994),-79.48326699713446,43.620511000641905,2,13469793,1994,2020-07-28
